Assists,Blocks,Date,FieldGoals,FieldGoals.,FieldGoalsAttempted,FreeThrows,FreeThrows.,FreeThrowsAttempted,Game,Home,OffRebounds,Opp.3PointShots,Opp.3PointShots.,Opp.3PointShotsAttempted,Opp.Assists,Opp.Blocks,Opp.FieldGoals,Opp.FieldGoals.,Opp.FieldGoalsAttempted,Opp.FreeThrows,Opp.FreeThrows.,Opp.FreeThrowsAttempted,Opp.OffRebounds,Opp.Steals,Opp.TotalFouls,Opp.TotalRebounds,Opp.Turnovers,Opponent,OpponentPoints,Steals,Team,TeamPoints,TotalFouls,TotalRebounds,Turnovers,Unnamed: 0,WINorLOSS,X3PointShots,X3PointShots.,X3PointShotsAttempted
20.0,6.0,2017-10-18,48.0,0.511,94.0,12.0,0.8,15.0,1.0,Away,14.0,17.0,0.37799999999999995,45.0,27.0,4.0,38.0,0.442,86.0,18.0,0.857,21.0,9.0,5.0,19.0,41.0,15.0,DAL,111.0,11.0,ATL,117.0,18.0,50.0,13.0,1305.0,W,9.0,0.5,18.0
19.0,4.0,2017-10-20,36.0,0.379,95.0,12.0,0.857,14.0,2.0,Away,6.0,11.0,0.306,36.0,17.0,4.0,37.0,0.43,86.0,24.0,0.8,30.0,12.0,5.0,18.0,57.0,21.0,CHO,109.0,11.0,ATL,91.0,29.0,38.0,13.0,2305.0,L,7.0,0.233,30.0
21.0,2.0,2017-10-22,32.0,0.34,94.0,33.0,0.917,36.0,3.0,Away,16.0,11.0,0.40700000000000003,27.0,27.0,8.0,41.0,0.47100000000000003,87.0,23.0,0.6759999999999999,34.0,13.0,12.0,27.0,51.0,18.0,BRK,116.0,6.0,ATL,104.0,25.0,48.0,16.0,3305.0,L,7.0,0.259,27.0
14.0,1.0,2017-10-23,36.0,0.474,76.0,14.0,0.778,18.0,4.0,Away,6.0,14.0,0.37799999999999995,37.0,21.0,6.0,39.0,0.45899999999999996,85.0,12.0,0.667,18.0,10.0,12.0,19.0,41.0,19.0,MIA,104.0,9.0,ATL,93.0,17.0,41.0,20.0,4305.0,L,7.0,0.41200000000000003,17.0
22.0,5.0,2017-10-26,32.0,0.395,81.0,11.0,0.846,13.0,5.0,Away,7.0,7.0,0.21899999999999997,32.0,20.0,4.0,31.0,0.36,86.0,22.0,0.759,29.0,18.0,5.0,15.0,62.0,13.0,CHI,91.0,10.0,ATL,86.0,23.0,40.0,10.0,5305.0,L,11.0,0.39299999999999996,28.0
23.0,4.0,2017-10-27,37.0,0.41600000000000004,89.0,12.0,1.0,12.0,6.0,Home,11.0,4.0,0.2,20.0,24.0,4.0,42.0,0.462,91.0,17.0,0.7390000000000001,23.0,11.0,8.0,12.0,46.0,11.0,DEN,105.0,7.0,ATL,100.0,21.0,43.0,12.0,6305.0,L,14.0,0.424,33.0
27.0,2.0,2017-10-29,36.0,0.46799999999999997,77.0,21.0,0.8079999999999999,26.0,7.0,Home,3.0,13.0,0.5,26.0,30.0,3.0,44.0,0.5429999999999999,81.0,16.0,0.762,21.0,5.0,9.0,27.0,43.0,14.0,MIL,117.0,9.0,ATL,106.0,21.0,31.0,16.0,7305.0,L,13.0,0.44799999999999995,29.0
22.0,4.0,2017-11-01,41.0,0.436,94.0,19.0,0.7040000000000001,27.0,8.0,Away,12.0,13.0,0.371,35.0,36.0,4.0,46.0,0.465,99.0,14.0,0.56,25.0,15.0,10.0,26.0,53.0,16.0,PHI,119.0,11.0,ATL,109.0,28.0,49.0,18.0,8109.0,L,8.0,0.348,23.0
16.0,8.0,2017-11-03,39.0,0.48100000000000004,81.0,15.0,0.833,18.0,9.0,Home,5.0,16.0,0.34,47.0,28.0,4.0,42.0,0.47200000000000003,89.0,19.0,0.826,23.0,9.0,14.0,16.0,44.0,12.0,HOU,119.0,8.0,ATL,104.0,16.0,41.0,18.0,990.0,L,11.0,0.33299999999999996,33.0
24.0,6.0,2017-11-05,41.0,0.47700000000000004,86.0,24.0,0.706,34.0,10.0,Away,11.0,10.0,0.278,36.0,27.0,6.0,42.0,0.43799999999999994,96.0,21.0,0.9129999999999999,23.0,15.0,6.0,29.0,47.0,13.0,CLE,115.0,4.0,ATL,117.0,20.0,44.0,17.0,1090.0,W,11.0,0.44,25.0
24.0,4.0,2017-11-06,39.0,0.48100000000000004,81.0,16.0,0.8,20.0,11.0,Home,5.0,14.0,0.389,36.0,28.0,3.0,39.0,0.48100000000000004,81.0,18.0,0.818,22.0,7.0,3.0,21.0,42.0,13.0,BOS,110.0,8.0,ATL,107.0,22.0,36.0,14.0,11129.0,L,13.0,0.5,26.0
28.0,7.0,2017-11-10,44.0,0.494,89.0,8.0,0.727,11.0,12.0,Away,11.0,12.0,0.4,30.0,23.0,5.0,39.0,0.43799999999999994,89.0,21.0,0.778,27.0,20.0,7.0,18.0,51.0,17.0,DET,111.0,11.0,ATL,104.0,21.0,45.0,15.0,12106.0,L,8.0,0.33299999999999996,24.0
19.0,1.0,2017-11-11,34.0,0.41,83.0,12.0,0.706,17.0,13.0,Away,10.0,7.0,0.292,24.0,22.0,10.0,42.0,0.5379999999999999,78.0,22.0,0.7859999999999999,28.0,11.0,14.0,22.0,42.0,23.0,WAS,113.0,11.0,ATL,94.0,23.0,32.0,24.0,1390.0,L,14.0,0.424,33.0
25.0,1.0,2017-11-13,40.0,0.46,87.0,8.0,0.889,9.0,14.0,Away,10.0,13.0,0.39399999999999996,33.0,31.0,5.0,41.0,0.547,75.0,11.0,0.647,17.0,7.0,10.0,13.0,38.0,19.0,NOP,106.0,14.0,ATL,105.0,18.0,36.0,16.0,1490.0,L,17.0,0.47200000000000003,36.0
40.0,6.0,2017-11-15,50.0,0.633,79.0,10.0,0.625,16.0,15.0,Home,9.0,6.0,0.214,28.0,18.0,2.0,31.0,0.35200000000000004,88.0,12.0,0.6,20.0,11.0,12.0,19.0,29.0,12.0,SAC,80.0,9.0,ATL,126.0,23.0,53.0,18.0,1590.0,W,16.0,0.5,32.0
24.0,1.0,2017-11-18,37.0,0.474,78.0,16.0,0.8,20.0,16.0,Home,6.0,16.0,0.47100000000000003,34.0,21.0,6.0,39.0,0.47600000000000003,82.0,16.0,0.8,20.0,9.0,9.0,22.0,41.0,15.0,BOS,110.0,7.0,ATL,99.0,19.0,35.0,13.0,1690.0,L,9.0,0.375,24.0
21.0,7.0,2017-11-20,37.0,0.435,85.0,3.0,0.375,8.0,17.0,Away,9.0,10.0,0.32299999999999995,31.0,29.0,5.0,40.0,0.449,89.0,6.0,1.0,6.0,14.0,7.0,17.0,52.0,18.0,SAS,96.0,7.0,ATL,85.0,15.0,38.0,15.0,1790.0,L,8.0,0.267,30.0
26.0,2.0,2017-11-22,40.0,0.48200000000000004,83.0,13.0,0.867,15.0,18.0,Home,9.0,15.0,0.5,30.0,30.0,4.0,44.0,0.579,76.0,13.0,0.684,19.0,6.0,7.0,15.0,33.0,15.0,LAC,116.0,10.0,ATL,103.0,20.0,36.0,15.0,1890.0,L,10.0,0.345,29.0
30.0,2.0,2017-11-24,47.0,0.475,99.0,9.0,0.75,12.0,19.0,Home,13.0,12.0,0.4,30.0,30.0,9.0,40.0,0.506,79.0,12.0,0.857,14.0,5.0,1.0,19.0,38.0,20.0,NYK,104.0,7.0,ATL,116.0,16.0,40.0,9.0,1990.0,W,13.0,0.419,31.0
18.0,1.0,2017-11-25,26.0,0.34700000000000003,75.0,20.0,0.87,23.0,20.0,Home,7.0,13.0,0.406,32.0,31.0,3.0,46.0,0.5479999999999999,84.0,7.0,0.778,9.0,11.0,10.0,22.0,46.0,16.0,TOR,112.0,9.0,ATL,78.0,15.0,32.0,18.0,2090.0,L,6.0,0.222,27.0
24.0,4.0,2017-11-30,41.0,0.519,79.0,20.0,0.833,24.0,21.0,Home,8.0,18.0,0.462,39.0,30.0,5.0,41.0,0.519,79.0,21.0,0.778,27.0,12.0,9.0,20.0,40.0,19.0,CLE,121.0,9.0,ATL,114.0,20.0,29.0,17.0,21129.0,L,12.0,0.387,31.0
18.0,5.0,2017-12-02,47.0,0.475,99.0,10.0,0.7140000000000001,14.0,22.0,Away,13.0,17.0,0.405,42.0,26.0,8.0,34.0,0.415,82.0,17.0,0.81,21.0,12.0,1.0,18.0,46.0,19.0,BRK,102.0,12.0,ATL,114.0,19.0,47.0,8.0,22106.0,W,10.0,0.37,27.0
18.0,2.0,2017-12-04,30.0,0.366,82.0,21.0,0.778,27.0,23.0,Home,9.0,15.0,0.41700000000000004,36.0,29.0,6.0,41.0,0.48200000000000004,85.0,13.0,0.867,15.0,12.0,7.0,28.0,52.0,22.0,BRK,110.0,9.0,ATL,90.0,19.0,38.0,18.0,2390.0,L,9.0,0.3,30.0
25.0,3.0,2017-12-06,40.0,0.43,93.0,15.0,0.75,20.0,24.0,Away,11.0,6.0,0.214,28.0,17.0,7.0,46.0,0.469,98.0,12.0,0.667,18.0,13.0,9.0,23.0,52.0,16.0,ORL,110.0,7.0,ATL,106.0,16.0,49.0,17.0,2490.0,L,11.0,0.40700000000000003,27.0
33.0,6.0,2017-12-09,41.0,0.513,80.0,18.0,0.72,25.0,25.0,Home,9.0,13.0,0.382,34.0,39.0,2.0,45.0,0.489,92.0,7.0,0.875,8.0,10.0,7.0,24.0,39.0,12.0,ORL,110.0,7.0,ATL,117.0,13.0,40.0,12.0,2590.0,W,17.0,0.515,33.0
22.0,4.0,2017-12-10,37.0,0.48100000000000004,77.0,24.0,0.8,30.0,26.0,Away,6.0,5.0,0.294,17.0,16.0,4.0,39.0,0.488,80.0,28.0,0.8240000000000001,34.0,6.0,9.0,30.0,33.0,12.0,NYK,111.0,5.0,ATL,107.0,28.0,35.0,16.0,2690.0,L,9.0,0.29,31.0
